Latitude,Longitude,ZCategory
47.54988908,-122.3222708,SINGLE FAMILY / DUPLEX
47.58566627,-122.311836,SINGLE FAMILY / DUPLEX
47.52336417,-122.2811102,SINGLE FAMILY / DUPLEX
47.69082739,-122.3882058,INSTITUTIONAL
47.55181028,-122.3713019,SINGLE FAMILY / DUPLEX
47.54363551,-122.3609505,SINGLE FAMILY / DUPLEX
47.64993468,-122.3480327,MULTIFAMILY
47.65970228,-122.3454869,SINGLE FAMILY / DUPLEX
47.68699955,-122.3781369,SINGLE FAMILY / DUPLEX
47.722758,-122.3007451,SINGLE FAMILY / DUPLEX
47.51221278,-122.3841764,SINGLE FAMILY / DUPLEX
47.52622606,-122.3200197,MULTIFAMILY
47.52978722,-122.274207,SINGLE FAMILY / DUPLEX
47.5491289,-122.3282073,COMMERCIAL
47.51958142,-122.3771554,MULTIFAMILY
47.56978441,-122.308104,INSTITUTIONAL
47.53191064,-122.2763662,SINGLE FAMILY / DUPLEX
47.68859205,-122.3792193,SINGLE FAMILY / DUPLEX
47.51068735,-122.2824846,INDUSTRIAL
47.56256376,-122.4054556,SINGLE FAMILY / DUPLEX
47.66846841,-122.3998673,SINGLE FAMILY / DUPLEX
47.67746102,-122.3986519,SINGLE FAMILY / DUPLEX
47.59400647,-122.309729,COMMERCIAL
47.72722141,-122.3027482,SINGLE FAMILY / DUPLEX
47.60331562,-122.3339067,COMMERCIAL
47.64027561,-122.2872635,SINGLE FAMILY / DUPLEX
47.67175381,-122.2546842,SINGLE FAMILY / DUPLEX
47.60699704,-122.3348204,COMMERCIAL
47.65512469,-122.3943132,SINGLE FAMILY / DUPLEX
47.59608631,-122.3114199,COMMERCIAL
47.72254029,-122.3456793,COMMERCIAL
47.66399147,-122.2915858,SINGLE FAMILY / DUPLEX
47.60547767,-122.3311908,COMMERCIAL
47.61275016,-122.3368671,COMMERCIAL
47.61130513,-122.3384511,COMMERCIAL
47.69599693,-122.3853084,SINGLE FAMILY / DUPLEX
47.6061431,-122.3367534,COMMERCIAL
47.54209462,-122.3824754,SINGLE FAMILY / DUPLEX
47.54209462,-122.3824754,SINGLE FAMILY / DUPLEX
47.622348,-122.3195138,SINGLE FAMILY / DUPLEX
47.64305889,-122.358016,SINGLE FAMILY / DUPLEX
47.60380229,-122.2997278,SINGLE FAMILY / DUPLEX
47.65358779,-122.3515066,MULTIFAMILY
47.64340051,-122.3040721,COMMERCIAL
47.57035152,-122.2867829,SINGLE FAMILY / DUPLEX
47.60411459,-122.3322666,COMMERCIAL
47.61296669,-122.3392731,COMMERCIAL
47.60669167,-122.3370109,COMMERCIAL
47.53066633,-122.2784766,SINGLE FAMILY / DUPLEX
47.6313236,-122.3188883,SINGLE FAMILY / DUPLEX
47.67184747,-122.3931239,SINGLE FAMILY / DUPLEX
47.63219299,-122.3620731,COMMERCIAL
47.66397177,-122.3774383,INDUSTRIAL
47.69500805,-122.3097863,SINGLE FAMILY / DUPLEX
47.62234951,-122.3196399,SINGLE FAMILY / DUPLEX
47.68601163,-122.281383,SINGLE FAMILY / DUPLEX
47.54141003,-122.2663529,SINGLE FAMILY / DUPLEX
47.57157541,-122.3878005,SINGLE FAMILY / DUPLEX
47.61415479,-122.3072676,SINGLE FAMILY / DUPLEX
47.56379475,-122.3745699,MULTIFAMILY
47.73012693,-122.3511998,SINGLE FAMILY / DUPLEX
47.547004,-122.3205649,SINGLE FAMILY / DUPLEX
47.69070469,-122.2837492,SINGLE FAMILY / DUPLEX
47.60871349,-122.2959974,COMMERCIAL
47.56561268,-122.3664791,SINGLE FAMILY / DUPLEX
47.71142191,-122.2848761,SINGLE FAMILY / DUPLEX
47.54306161,-122.3775307,SINGLE FAMILY / DUPLEX
47.67219754,-122.3801584,SINGLE FAMILY / DUPLEX
47.66847041,-122.4000805,SINGLE FAMILY / DUPLEX
47.55236591,-122.293331,SINGLE FAMILY / DUPLEX
47.59242654,-122.2873624,SINGLE FAMILY / DUPLEX
47.60547767,-122.3311908,COMMERCIAL
47.62036278,-122.2860863,SINGLE FAMILY / DUPLEX
47.62014106,-122.3576947,COMMERCIAL
47.6068245,-122.3270575,COMMERCIAL
47.63704478,-122.3714523,SINGLE FAMILY / DUPLEX
47.57263768,-122.38596,SINGLE FAMILY / DUPLEX
47.66887985,-122.3829136,COMMERCIAL
47.65984482,-122.342542,COMMERCIAL
47.52871514,-122.3854556,SINGLE FAMILY / DUPLEX
47.58357534,-122.3843386,SINGLE FAMILY / DUPLEX
47.61523711,-122.338364,COMMERCIAL
47.67164751,-122.2631651,SINGLE FAMILY / DUPLEX
47.6547056,-122.3234961,SINGLE FAMILY / DUPLEX
47.61478198,-122.2900328,SINGLE FAMILY / DUPLEX
47.53066633,-122.2784766,SINGLE FAMILY / DUPLEX
47.5128725,-122.3843026,SINGLE FAMILY / DUPLEX
47.65970228,-122.3454869,SINGLE FAMILY / DUPLEX
47.61744696,-122.3176417,MULTIFAMILY
47.57858991,-122.3309881,INDUSTRIAL
47.63648918,-122.2793784,SINGLE FAMILY / DUPLEX
47.62440312,-122.3195745,MULTIFAMILY
47.55326158,-122.362699,MULTIFAMILY
47.67999286,-122.3166046,SINGLE FAMILY / DUPLEX
47.61249609,-122.3230406,
47.65810403,-122.2863433,SINGLE FAMILY / DUPLEX
47.61109231,-122.3125393,SINGLE FAMILY / DUPLEX
47.65361559,-122.3113829,COMMERCIAL
47.5648081,-122.3756367,COMMERCIAL
47.53277917,-122.2703407,COMMERCIAL
